act_name,section_number,section_title,content,doc_types
"Code on Wages, 2019",15,Chapter III,"Payment of Wages 15. Mode of payment of wages.- All wages shall be paid in current coin or currency notes or by cheque or by crediting the wages in the bank account of the employee or by the electronic mode: Provided that the appropriate Government may, by notification, specify the industrial or other establishment, the employer of which shall pay to every person employed in such industrial or other establishment, the wages only by cheque or by crediting the wages in his bank account.",offer_letter
"Code on Wages, 2019",16,Fixation of wage period.-,The employer shall fix the wage period for employees either as daily or weekly or fortnightly or monthly subject to the condition that no wage period in respect of any employee shall be more than a month: Provided that different wage periods may be fixed for different establishments.,offer_letter
"Code on Wages, 2019",17,Time limit for payment of wages.-,"(1) The employer shall pay or cause to be paid wages to the employees, engaged on- (i) daily basis, at the end of the shift; (ii) weekly basis, on the last working day of the week, that is to say, before the weekly holiday; (iii) fortnightly basis, before the end of the second day after the end of the fortnight; (iv) monthly basis, before the expiry of the seventh day of the succeeding month. (2) Where an employee has been- (i) removed or dismissed from service; or (ii) retrenched or has resigned from service, or became unemployed due to closure of the establishment, the wages payable to him shall be paid within two working days of his removal, dismissal, retrenchment or, as the case may be, his resignation. (3) Notwithstanding anything contained in sub-section (1) or sub-section (2), the appropriate Government may, provide any other time limit for payment of wages where it considers reasonable having regard to the circumstances under which the wages are to be paid. (4) Nothing contained in sub-section (1) or sub-section (2) shall affect any time limit for payment of wages provided in any other law for the time being in force.",offer_letter
"Code on Wages, 2019",18,Deductions which may be made from wages.-,"(1) Notwithstanding anything contained in any other law for the time being in force, there shall be no deductions from the wages of the employee, except those as are authorised under this Code. Explanation.- For the purposes of this sub-section, - (a) any payment made by an employee to the employer or his agent shall be deemed to be a deduction from his wages; (b) any loss of wages to an employee, for a good and sufficient cause, resulting from- (i) the withholding of increment or promotion, including the stoppage of an increment; or (ii) the reduction to a lower post or time-scale; or (iii) the suspension, shall not be deemed to be a deduction from wages in a case where the provisions made by the employer for such purposes are satisfying the requirements specified in the notification issued by the appropriate Government in this behalf. (2) Deductions from the wages of an employee shall be made in accordance with the provisions of this Code, and may be made only for the following purposes, namely:- (a) fines imposed on him; (b) deductions for his absence from duty; (c) deductions for damage to or loss of goods expressly entrusted to the employee for custody; or for loss of money for which he is required to account, where such damage or loss is directly attributable to his neglect or default; (d) deductions for house-accommodation supplied by the employer or by appropriate Government or any housing board set up under any law for the time being in force, whether the Government or such board is the employer or not, or any other authority engaged in the business of subsidising house-accommodation which may be specified in this behalf by the appropriate Government by notification; (e) deductions for such amenities and services supplied by the employer as the appropriate Government or any officer specified by it in this behalf may, by general or special order, authorise and such deduction shall not exceed an amount equivalent to the value of such amenities and services. Explanation.- For the purposes of this clause, the expression ""services"" does not include the supply of tools and raw materials required for the purposes of employment; (f) deductions for recovery of- (i) advances of whatever nature (including advances for travelling allowance or conveyance allowance), and the interest due in respect thereof, or for adjustment of overpayment of wages; (ii) loans made from any fund constituted for the welfare of labour, as may be prescribed by the appropriate Government, and the interest due in respect thereof; (g) deductions for recovery of loans granted for house-building or other purposes approved by the appropriate Government and the interest due in respect thereof; (h) deductions of income-tax or any other statutory levy levied by the Central Government or State Government and payable by the employee or deductions required to be made by order of a court or other authority competent to make such order; (i) deductions for subscription to, and for repayment of advances from any social security fund or scheme constituted by law including provident fund or pension fund or health insurance scheme or fund known by any other name; (j) deductions for payment of co-operative society subject to such conditions as the appropriate Government may impose; (k) deductions made, with the written authorisation of the employee, for payment of the fees and contribution payable by him for the membership of any Trade Union registered under the Trade Unions Act, 1926 (16 of 1926); (l) deductions for recovery of losses sustained by the railway administration on account of acceptance by the employee of counterfeit or base coins or mutilated or forged currency notes; (m) deductions for recovery of losses sustained by the railway administration on account of the failure of the employee to invoice, to bill, to collect or to account for the appropriate charges due to the railway administration whether in respect of fares, freight, demurrage, wharf age and cranage or in respect of sale of food in catering establishments or in respect of commodities in grain shops or otherwise; (n) deductions for recovery of losses sustained by the railway administration on account of any rebates or refunds incorrectly granted by the employee where such loss is directly attributable to his neglect or default; (o) deductions, made with the written authorisation of the employee, for contribution to the Prime Minister's National Relief Fund or to such other fund as the Central Government may, by notification, specify. (3) Notwithstanding anything contained in this Code and subject to the provisions of any other law for the time being in force, the total amount of deductions which may be made under sub-section (2) in any wage period from the wages of an employee shall not exceed fifty per cent. of such wages. (4) Where the total deductions authorised under sub-section (2) exceed fifty per cent. of the wages, the excess may be recovered in such manner, as may be prescribed. (5) Where any deduction is made by the employer from the wages of an employee under this section but not deposited in the account of the trust or Government fund or any other account, as required under the provisions of the law for the time being in force, such employee shall not be held responsible for such default of the employer.",offer_letter
"Code on Wages, 2019",19,Fines.-,"(1) No fine shall be imposed on any employee save in respect of those acts and omissions on his part as the employer, with the previous approval of the appropriate Government or of such authority as may be prescribed, may have specified by notice under sub-section (2). (2) A notice specifying such acts and omissions shall be exhibited in such manner as may be prescribed, on the premises in which the employment is carried on. (3) No fine shall be imposed on any employee until such employee has been given an opportunity of showing cause against the fine or otherwise than in accordance with such procedure as may be prescribed for the imposition of fines. (4) The total amount of fine which may be imposed in any one wage-period on any employee shall not exceed an amount equal to three per cent. of the wages payable to him in respect of that wage-period. (5) No fine shall be imposed on any employee who is under the age of fifteen years. (6) No fine imposed on any employee shall be recovered from him by installments or after the expiry of ninety days from the day on which it was imposed. (7) Every fine shall be deemed to have been imposed on the day of the act or omission in respect of which it was imposed. (8) All fines and all realisations thereof shall be recorded in a register to be kept in such manner and form as may be prescribed; and all such realisations shall be applied only to such purposes beneficial to the persons employed in the establishment as are approved by the prescribed authority.",offer_letter
"Code on Wages, 2019",2,Definitions.-,"In this Code, unless the context otherwise requires,- (a) ""accounting year"" means the year commencing on the 1st day of April; (b) ""Advisory Board"" means the Central Advisory Board or, as the case may be, the State Advisory Board, constituted under section 42; (c) ""agricultural income tax law"" means any law for the time being in force relating to the levy of tax on agricultural income; (d) ""appropriate Government"" means, - (i) in relation to, an establishment carried on by or under the authority of the Central Government or the establishment of railways, mines, oil field, major ports, air transport service, telecommunication, banking and insurance company or a corporation or other authority established by a Central Act or a central public sector undertaking or subsidiary companies set up by central public sector undertakings or autonomous bodies owned or controlled by the Central Government, including establishment of contractors for the purposes of such establishment, corporation or other authority, central public sector undertakings, subsidiary companies or autonomous bodies, as the case may be, the Central Government; (ii) in relation to any other establishment, the State Government; (e) ""company"" means a company as defined in clause (20) of section 2 of the Companies Act, 2013 (18 of 2013); (f) ""contractor"", in relation to an establishment, means a person, who- (i) undertakes to produce a given result for the establishment, other than a mere supply of goods or articles of manufacture to such establishment, through contract labour; or (ii) supplies contract labour for any work of the establishment as mere human resource and includes a sub-contractor; (g) ""contract labour"" means a worker who shall be deemed to be employed in or in connection with the work of an establishment when he is hired in or in connection with such work by or through a contractor, with or without the knowledge of the principal employer and includes inter-State migrant worker but does not include a worker (other than part-time employee) who- (i) is regularly employed by the contractor for any activity of his establishment and his employment is governed by mutually accepted standards of the conditions of employment (including engagement on permanent basis), and (ii) gets periodical increment in the pay, social security coverage and other welfare benefits in accordance with the law for the time being in force in such employment; (h) ""co-operative society"" means a society registered or deemed to be registered under the Co-operative Societies Act, 1912 (2 of 1912), or any other law for the time being in force relating to co-operative societies in any State; (i) ""corporation"" means any body corporate established by or under any Central Act, or State Act, but does not include a company or a co-operative society; (j) ""direct tax"" means- (i) any tax chargeable under the- (A) Income-tax Act, 1961 (43 of 1961); (B) Companies (Profits) Surtax Act, 1964 (7 of 1964); (C) Agricultural income tax law; and (ii) any other tax which, having regard to its nature or incidence, may be declared by the Central Government, by notification, to be a direct tax for the purposes of this Code; (k) ""employee"" means, any person (other than an apprentice engaged under the Apprentices Act, 1961 (52 of 1961)), employed on wages by an establishment to do any skilled, semi-skilled or unskilled, manual, operational, supervisory, managerial, administrative, technical or clerical work for hire or reward, whether the terms of employment be express or implied, and also includes a person declared to be an employee by the appropriate Government, but does not include any member of the Armed Forces of the Union; (l) ""employer"" means a person who employs, whether directly or through any person, or on his behalf or on behalf of any person, one or more employees in his establishment and where the establishment is carried on by any department of the Central Government or the State Government, the authority specified, by the head of such department, in this behalf or where no authority, is so specified the head of the department and in relation to an establishment carried on by a local authority, the chief executive of that authority, and includes,- (i) in relation to an establishment which is a factory, the occupier of the factory as defined in clause (n) of section 2 of the Factories Act, 1948 (63 of 1948) and, where a person has been named as a manager of the factory under clause (f) of sub-section (1) of section 7 of the said Act, the person so named; (ii) in relation to any other establishment, the person who, or the authority which, has ultimate control over the affairs of the establishment and where the said affairs is entrusted to a manager or managing director, such manager or managing director; (iii) contractor; and (iv) legal representative of a deceased employer; (m) ""establishment"" means any place where any industry, trade, business, manufacture or occupation is carried on and includes Government establishment; (n) ""factory"" means a factory as defined in clause (m) of section 2 of the Factories Act, 1948 (63 of 1948); (o) ""Government establishment"" means any office or department of the Government or a local authority; (p) ""Income-tax Act"" means the Income-tax Act, 1961 (43 of 1961); (q) ""industrial dispute"" means,- (i) any dispute or difference between employers and employers, or between employers and workers or between workers and workers which is connected with the employment or non-employment or the terms of employment or with the conditions of labour, of any person; and (ii) any dispute or difference between an individual worker and an employer connected with, or arising out of, discharge, dismissal, retrenchment or termination of such worker; (r) ""Inspector-cum-Facilitator"" means a person appointed by the appropriate Government under sub-section (1) of section 51; (s) ""minimum wage"" means the wage fixed under section 6; (t) ""notification"" means a notification published in the Gazette of India or in the Official Gazette of a State, as the case may be, and the expression ""notify"" with its grammatical variations and cognate expressions shall be construed accordingly; (u) ""prescribed"" means prescribed by rules made by the appropriate Government; (v) ""same work or work of a similar nature"" means work in respect of which the skill, effort, experience and responsibility required are the same, when performed under similar working conditions by employees and the difference if any, between the skill, effort, experience and responsibility required for employees of any gender, are not of practical importance in relation to the terms and conditions of employment; (w) ""State"" includes a Union territory; (x) ""Tribunal"" shall have the same meaning as assigned to it in clause (r) of section 2 of the Industrial Disputes Act, 1947 (14 of 1947); (y) ""wages"" means all remuneration whether by way of salaries, allowances or otherwise, expressed in terms of money or capable of being so expressed which would (42 of 2005), if the terms of employment, express or implied, were fulfilled, be payable to a person employed in respect of his employment or of work done in such employment, and includes,- (i) basic pay; (ii) dearness allowance; and (iii) retaining allowance, if any, but does not include- (a) any bonus payable under any law for the time being in force, which does not form part of the remuneration payable under the terms of employment; (b) the value of any house-accommodation, or of the supply of light, water, medical attendance or other amenity or of any service excluded from the computation of wages by a general or special order of the appropriate Government; (c) any contribution paid by the employer to any pension or provident fund, and the interest which may have accrued thereon; (d) any conveyance allowance or the value of any travelling concession; (e) any sum paid to the employed person to defray special expenses entailed on him by the nature of his employment; (f) house rent allowance; (g) remuneration payable under any award or settlement between the parties or order of a court or Tribunal; (h) any overtime allowance; (i) any commission payable to the employee; (j) any gratuity payable on the termination of employment; (k) any retrenchment compensation or other retirement benefit payable to the employee or any ex gratia payment made to him on the termination of employment: Provided that, for calculating the wages under this clause, if payments made by the employer to the employee under clauses (a) to (i) exceeds one-half, or such other per cent. as may be notified by the Central Government, of the all remuneration calculated under this clause, the amount which exceeds such one-half, or the per cent. so notified, shall be deemed as remuneration and shall be accordingly added in wages under this clause: Provided further that for the purpose of equal wages to all genders and for the purpose of payment of wages, the emoluments specified in clauses (d), (f), (g) and (h) shall be taken for computation of wage. Explanation.- Where an employee is given in lieu of the whole or part of the wages payable to him, any remuneration in kind by his employer, the value of such remuneration in kind which does not exceed fifteen per cent. of the total wages payable to him, shall be deemed to form part of the wages of such employee; (z) ""worker"" means any person (except an apprentice as defined under clause (aa) of section 2 of the Apprentices Act, 1961 (52 of 1961)) employed in any industry to do any manual, unskilled, skilled, technical, operational, clerical or supervisory work for hire or reward, whether the terms of employment be express or implied, and includes- (i) working journalists as defined in clause (f) of section 2 of the Working Journalists and other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions Act, 1955 (45 of 1955); and (ii) sales promotion employees as defined in clause (d) of section 2 of the Sales Promotion Employees (Conditions of Service) Act, 1976 (11 of 1976), and for the purposes of any proceeding under this Code in relation to an industrial dispute, includes any such person who has been dismissed, discharged or retrenched or otherwise terminated in connection with, or as a consequence of, that dispute, or whose dismissal, discharge or retrenchment has led to that dispute, but does not include any such person- (a) who is subject to the Air Force Act, 1950 (45 of 1950), or the Army Act, 1950 (46 of 1950), or the Navy Act, 1957 (62 of 1957); or (b) who is employed in the police service or as an officer or other employee of a prison; or (c) who is employed mainly in a managerial or administrative capacity; or (d) who is employed in a supervisory capacity drawing wage of exceeding fifteen thousand rupees per month or an amount as may be notified by the Central Government from time to time. 1.18th December, 2020,- Sub-section (1), (2), (3), (10) and (11) of section 42 (to the extent relate to the central Advisory Board); clauses (s) and (t) of sub-section (2) of section 67 (to the extent they relate to the Central advisory Board); section 69 [to the extent it relates to section 7 and 9 (to the extent relate to the Central Government) and section 8 of the Minimum Wages Act, 1948 (11 of 1948)], vide notification No. S.O. 4604(E), dated 18th December, 2020, see Gazette of India, Extraordinary, Part II, sec. 3(ii).",offer_letter
"Code on Wages, 2019",20,Deductions for absence from duty.-,"(1) Deductions may be made under clause (b) of sub-section (2) of section 18 only on account of the absence of an employee from the place or places where by the terms of his employment, he is required to work, such absence being for the whole or any part of the period during which he is so required to work. (2) The amount of such deduction shall in no case bear to the wages payable to the employed person in respect of the wage-period for which the deduction is made in a larger proportion than the period for which he was absent bears to the total period within such wage-period during which by the terms of his employment he was required to work: Provided that, subject to any rules made in this behalf by the appropriate Government, if ten or more employed persons acting in concert absent themselves without due notice (that is to say without giving the notice which is required under the terms of their contracts of employment) and without reasonable cause, such deduction from any such person may include such amount not exceeding his wages for eight days as may by any such terms be due to the employer in lieu of due notice. Explanation.- For the purposes of this section, an employee shall be deemed to be absent from the place where he is required to work if, although present in such place, he refuses, in pursuance of a stay-in strike or for any other cause which is not reasonable in the circumstances, to carry out his work.",offer_letter
"Code on Wages, 2019",21,Deductions for damage or loss.-,(1) A deduction under clause (c) or clause (n) of sub-section (2) of section 18 for damage or loss shall not exceed the amount of the damage or loss caused to the employer by negligence or default of the employee. (2) A deduction shall not be made under sub-section (1) until the employee has been given an opportunity of showing cause against the deduction or otherwise than in accordance with such procedure as may be prescribed for the making of such deductions. (3) All such deductions and all realisations thereof shall be recorded in a register to be kept in such form as may be prescribed.,offer_letter
"Code on Wages, 2019",22,Deductions for services rendered.-,"A deduction under clause (d) or clause (e) of sub-section (2) of section 18 shall not be made from the wages of an employee, unless the house-accommodation amenity or service has been accepted by him as a term of employment or otherwise and such deduction shall not exceed an amount equivalent to the value of the house-accommodation amenity or service supplied and shall be subject to such conditions as the appropriate Government may impose.",offer_letter
"Code on Wages, 2019",23,Deductions for recovery of advances.-,"Deductions under clause (f) of sub-section (2) of section 18 for recovery of advances given to an employee shall be subject to the following conditions, namely:- (a) recovery of advance of money given to an employee before the employment began shall be made from the first payment of wages to him in respect of a complete wage-period but no recovery shall be made of such advances given for travelling expenses; (b) recovery of advance of money given to an employee after the employment began shall be subject to such conditions as may be prescribed; (c) recovery of advances of wages to an employee not already earned shall be subject to such conditions as may be prescribed.",offer_letter
"Code on Wages, 2019",24,Deductions for recovery of loans.-,"Deductions under clause (g) of sub-section (2) of section 18 for recovery of loans granted to an employee, regulating the extent to which such loans may be granted and the rate of interest payable thereon, shall be such as may be prescribed.",offer_letter
"Code on Wages, 2019",25,Chapter not to apply to Government establishments.-,"The provisions of this Chapter shall not apply to the Government establishments unless the appropriate Government, by notification, applies such provisions to the Government establishments specified in the said notification.",offer_letter
"Code on Wages, 2019",26,Chapter IV,"Payment of Bones 26. Eligibility for bonus, etc.- (1) There shall be paid to every employee, drawing wages not exceeding such amount per mensem, as determined by notification, by the appropriate Government, by his employer, who has put in at least thirty days work in an accounting year, an annual minimum bonus calculated at the rate of eight and one-third per cent. of the wages earned by the employee or one hundred rupees, whichever is higher whether or not the employer has any allocable surplus during the previous accounting year. (2) For the purpose of calculation of the bonus where the wages of the employee exceeds such amount per mensem, as determined by notification by the appropriate Government, the bonus payable to such employee under sub-sections (1) and (3) shall be calculated as if his wage were such amount, so determined by the appropriate Government or the minimum wage fixed by the appropriate Government, whichever is higher. (3) Where in respect of any accounting year referred to in sub-section (1), the allocable surplus exceeds the amount of minimum bonus payable to the employees under that sub-section, the employer shall, in lieu of such minimum bonus, be bound to pay to every employee in respect of that accounting year, bonus which shall be an amount in proportion to the wages earned by the employee during the accounting year, subject to a maximum of twenty per cent. of such wages. (4) In computing the allocable surplus under this section, the amount set on or the amount set off under the provisions of section 36 shall be taken into account in accordance with the provisions of that section. (5) Any demand for bonus in excess of the bonus referred to in sub-section (1), either on the basis of production or productivity in an accounting year for which the bonus is payable shall be determined by an agreement or settlement between the employer and the employees, subject to the condition that the total bonus including the annual minimum bonus referred to in sub-section (1) shall not exceed twenty per cent. of the wages earned by the employee in the accounting year. (6) In the first five accounting years following the accounting year in which the employer sells the goods produced or manufactured by him or renders services, as the case may be, from such establishment, bonus shall be payable only in respect of the accounting year in which the employer derives profit from such establishment and such bonus shall be calculated in accordance with the provisions of this Code in relation to that year, but without applying the provisions of section 36. (7) For the sixth and seventh accounting years following the accounting year in which the employer sells the goods produced or manufactured by him or renders services, as the case may be, from such establishment, the provisions of section 36 shall apply subject to the following modifications, namely:- (i) for the sixth accounting year set on or set off, as the case may be, shall be made, in the manner as may be prescribed by the Central Government, taking into account the excess or deficiency, if any, as the case may be, of the allocable surplus set on or set off in respect of the fifth and sixth accounting years; (ii) for the seventh accounting year set on or set off, as the case may be, shall be made, in the manner as may be prescribed by the Central Government, taking into account the excess or deficiency, if any, as the case may be, of the allocable surplus set on or set off in respect of the fifth, sixth and seventh accounting years. (8) From the eighth accounting year following the accounting year in which the employer sells the goods produced or manufactured by him or renders services, as the case may be, from such establishment, the provisions of section 36 shall apply in relation to such establishment as they apply in relation to any other establishment. Explanation 1.- For the purpose of sub-section (6), an employer shall not be deemed to have derived profit in any accounting year, unless- (a) he has made provision for depreciation of that year to which he is entitled under the Income-tax Act or, as the case may be, under the agricultural income tax law; and (b) the arrears of such depreciation and losses incurred by him in respect of the establishment for the previous accounting years have been fully set off against his profits. Explanation 2.- For the purposes of sub-sections (6), (7) and (8), sale of the goods produced or manufactured during the course of the trial running of any factory or of the prospecting stage of any mine or an oil-field shall not be taken into consideration and where any question arises with regard to such production or manufacture, the appropriate Government may, after giving the parties a reasonable opportunity of representing the case, decide upon the issue. (9) The provisions of sub-sections (6), (7) and (8) shall, so far as may be, apply to new departments or undertakings or branches set up by existing establishments.",offer_letter
"Code on Wages, 2019",27,Proportionate reduction in bonus in certain cases.-,"Where an employee has not worked for all the working days in an accounting year, the minimum bonus under sub-section (1) of section 26, if such bonus is higher than eight and one third per cent. of the salary or wage of the days such employee has worked in that accounting year, shall be proportionately reduced.",offer_letter
"Code on Wages, 2019",28,Computation of number of working days.-,"For the purposes of section 27, an employee shall be deemed to have worked in an establishment in any accounting year also on the days on which,- (a) he has been laid off under an agreement or as permitted by standing orders under the Industrial Employment (Standing Orders) Act, 1946 (20 of 1946), or under the Industrial Disputes Act, 1947 (14 of 1947), or under any other law applicable to the establishment; (b) he has been on leave with salary or wages; (c) he has been absent due to temporary disablement caused by accident arising out of and in the course of his employment; and (d) the employee has been on maternity leave with salary or wages, during the accounting year.",offer_letter
"Code on Wages, 2019",29,Disqualification for bonus.-,"Notwithstanding anything contained in this Code, an employee shall be disqualified from receiving bonus under this Code, if he is dismissed from service for- (a) fraud; or (b) riotous or violent behaviour while on the premises of the establishment; or (c) theft, misappropriation or sabotage of any property of the establishment; or (d) conviction for sexual harassment.",offer_letter
"Code on Wages, 2019",3,Prohibition of discrimination on ground of gender.-,"(1) There shall be no discrimination in an establishment or any unit thereof among employees on the ground of gender in matters relating to wages by the same employer, in respect of the same work or work of a similar nature done by any employee. (2) No employer shall, - (i) for the purposes of complying with the provisions of sub-section (1), reduce the rate of wages of any employee; and (ii) make any discrimination on the ground of sex while recruiting any employee for the same work or work of similar nature and in the conditions of employment, except where the employment of women in such work is prohibited or restricted by or under any law for the time being in force.",offer_letter
"Code on Wages, 2019",30,"Establishments to include departments, undertakings and branches.-","Where an establishment consists of different departments or undertakings or has branches, whether situated in the same place or in different places, all such departments or undertakings or branches shall be treated as parts of the same establishment for the purpose of computation of bonus under this Code: Provided that where for any accounting year a separate balance sheet and profit and loss account are prepared and maintained in respect of any such department or undertaking or branch, then, such department or undertaking or branch shall be treated as a separate establishment for the purpose of computation of bonus, under this Code for that year, unless such department or undertaking or branch was, immediately before the commencement of that accounting year treated as part of the establishment for the purpose of computation of bonus.",offer_letter
"Code on Wages, 2019",31,Payment of bonus out of allocable surplus.-,"(1) The bonus shall be paid out of the allocable surplus which shall be an amount equal to sixty per cent. in case of a banking company and sixty-seven per cent. in case of other establishment, of the available surplus and the available surplus shall be the amount calculated in accordance with section 33. (2) Audited accounts of companies shall not normally be questioned. (3) Where there is any dispute regarding the quantum of bonus, the authority notified by the appropriate Government having jurisdiction may call upon the employer to produce the balance sheet before it, but the authority shall not disclose any information contained in the balance sheet unless agreed to by the employer.",offer_letter
"Code on Wages, 2019",32,Computation of gross profits.-,"The gross profits derived by an employer from an establishment in respect of the accounting year shall,- (a) in the case of a banking company, be calculated in the manner as may be prescribed by the Central Government; (b) in any other case, be calculated in the manner as may be prescribed by the Central Government.",offer_letter
